f_property_type,f_room_type,f_room_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,price,id,neighbourhood_cleansed,cancellation_policy,room_type,property_type,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,f_minimum_nights,flag_days_since,flag_review_scores_rating,flag_reviews_per_month
Apartment,Private room,Private,flexible,Real Bed,Hackney,65.0,2.0,1.5,92.0,3.0,1.0,0.06,10.0,1.0,1.0,1467.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,65.0,579612,Hackney,flexible,Private room,Apartment,4.174387269895637,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,1.3862943611198906,1.0,7.291656209174461,53.16825027279246,387.68460223254885,2152089.0,3157114563.0,4.5217885770490405,1.0,0,0,0
House,Private room,Private,moderate,Real Bed,Hackney,30.0,2.0,3.0,90.0,2.0,1.0,0.1,0.0,1.0,1.0,573.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,30.0,4839715,Hackney,moderate,Private room,House,3.4011973816621555,4.0,0.6931471805599453,0.4804530139182014,0.0,2.0,1.0986122886681098,1.0,6.352629396319567,40.3559002469835,256.36607822392745,328329.0,188132517.0,4.499809670330265,1.0,0,0,0
Apartment,Private room,Private,moderate,Couch,Hackney,150.0,7.0,1.5,97.0,32.0,1.0,0.55,10.0,2.0,5.0,1739.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,150.0,459237,Hackney,moderate,Private room,Apartment,5.010635294096256,49.0,1.9459101490553128,3.786566308196472,1.6094379124341005,1.0,3.49650756146648,1.0,7.461640392208575,55.676077342638536,415.4348675795604,3024121.0,5258946419.0,4.574710978503383,2.0,0,0,0
House,Private room,Private,moderate,Real Bed,Hackney,29.0,2.0,1.5,94.0,52.0,1.0,2.62,0.0,1.0,1.0,593.0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,29.0,7284815,Hackney,moderate,Private room,House,3.367295829986474,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,3.970291913552122,2.0,6.386879319362645,40.792227440102245,260.53503382792644,351649.0,208527857.0,4.543294782270004,1.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,65.0,2.0,1.0,88.0,55.0,3.0,1.13,0.0,2.0,2.0,1463.0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,65.0,870168,Hackney,moderate,Entire home/apt,Apartment,4.174387269895637,4.0,0.6931471805599453,0.4804530139182014,0.6931471805599453,1.0,4.02535169073515,2.0,7.288927694521257,53.12846693595896,387.24955401696815,2140369.0,3131359847.0,4.477336814478207,2.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,165.0,5.0,2.0,100.0,2.0,1.0,0.08,0.0,2.0,2.0,797.0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,165.0,4642580,Hackney,strict,Entire home/apt,Apartment,5.10594547390058,25.0,1.6094379124341005,2.590290393980234,0.6931471805599453,2.0,1.0986122886681098,1.0,6.682108597449809,44.65057530811266,298.35999314741974,635209.0,506261573.0,4.605170185988092,2.0,0,0,0
Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,95.0,3.0,1.0,96.0,27.0,1.0,0.78,0.0,2.0,1.0,1037.0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,95.0,2574230,Hackney,moderate,Entire home/apt,Apartment,4.553876891600541,9.0,1.0986122886681098,1.206948960812582,0.0,1.0,3.332204510175204,1.0,6.945051063725834,48.23373427775934,334.9857475532217,1075369.0,1115157653.0,4.564348191467836,2.0,0,0,0
House,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,65.0,4.0,1.0,100.0,3.0,2.0,0.69,5.0,2.0,2.0,130.0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,65.0,15460327,Hackney,moderate,Entire home/apt,House,4.174387269895637,16.0,1.3862943611198906,1.9218120556728056,0.6931471805599453,1.0,1.3862943611198906,1.0,4.875197323201151,23.76754894014767,115.87149097206027,16900.0,2197000.0,4.605170185988092,2.0,0,0,0
Apartment,Private room,Private,moderate,Real Bed,Hackney,28.0,2.0,1.0,90.0,2.0,1.0,0.34,0.0,1.0,1.0,174.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,28.0,14661402,Hackney,moderate,Private room,Apartment,3.332204510175204,4.0,0.6931471805599453,0.4804530139182014,0.0,1.0,1.0986122886681098,1.0,5.1647859739235145,26.675014156437065,137.77073896937733,30276.0,5268024.0,4.499809670330265,1.0,0,0,0
House,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,156.0,6.0,2.0,96.0,0.0,4.0,0.52,0.0,1.0,4.0,405.0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,156.0,12903530,Hackney,moderate,Entire home/apt,House,5.049856007249537,36.0,1.791759469228055,3.210401995568401,1.3862943611198906,2.0,0.0,0.0,6.0063531596017325,36.07627827785772,216.68686802088203,164025.0,66430125.0,4.564348191467836,1.0,1,1,1
